GISJOIN,Object_ID,Name,Address,City,State,ZIP,County,Country
G0100170,22429,LAFAYETTE POLICE DEPARTMENT,50 ALABAMA AVENUE WEST,LAFAYETTE,AL,36862,CHAMBERS,USA
G0100170,22397,CHAMBERS COUNTY SHERIFFS DEPARTMENT / CHAMBERS COUNTY JAIL,105 ALABAMA AVENUE WEST,LAFAYETTE,AL,36862,CHAMBERS,USA
G0100170,22157,LANETT POLICE DEPARTMENT,401 NORTH LANIER AVENUE,LANETT,AL,36863,CHAMBERS,USA
G0100170,22169,VALLEY POLICE DEPARTMENT,20 FOB JAMES DRIVE,VALLEY,AL,36854,CHAMBERS,USA
G0100230,22415,SILAS POLICE DEPARTMENT,370 1ST STREET, TOWN HALL,SILAS,AL,36919,CHOCTAW,USA
G0100230,22152,GILBERTOWN POLICE DEPARTMENT,40 FRONT STREET, TOWN HALL,GILBERTOWN,AL,36908,CHOCTAW,USA
G0100230,20808,TOXEY POLICE DEPARTMENT,16100 STATE HIGHWAY 17, CITY HALL,TOXEY,AL,36921,CHOCTAW,USA
G0100230,22030,CHOCTAW COUNTY SHERIFFS DEPARTMENT,117 SOUTH MULBERRY AVENUE, COURTHOUSE-SUITE 11,BUTLER,AL,36904,CHOCTAW,USA
G0100230,22468,BUTLER POLICE DEPARTMENT,114 NORTH ACADEMY AVENUE, BUTLER CITY HALL,BUTLER,AL,36904,CHOCTAW,USA
G0100230,22445,PENNINGTON POLICE DEPARTMENT,282 PINE GROVE ROAD, TOWN HALL,PENNINGTON,AL,36916,CHOCTAW,USA
G0100410,20857,GLENWOOD POLICE DEPARTMENT,108 NORTH KING STREET,GLENWOOD,AL,36034,CRENSHAW,USA
G0100410,22387,BRANTLEY POLICE DEPARTMENT,10 MARTIN LUTHER KING DRIVE,BRANTLEY,AL,36009,CRENSHAW,USA
G0100410,22389,LUVERNE POLICE DEPARTMENT,64 WEST 6TH STREET,LUVERNE,AL,36049,CRENSHAW,USA
G0100410,22480,CRENSHAW COUNTY SHERIFFS DEPARTMENT,29 SOUTH GLENWOOD AVENUE, CRENSHAW COUNTY COURTHOUSE,LUVERNE,AL,36049,CRENSHAW,USA
G0100410,22069,DOZIER POLICE DEPARTMENT,7874 MAIN STREET,DOZIER,AL,36028,CRENSHAW,USA
G0100370,22522,GOODWATER POLICE DEPARTMENT,51 MAIN STREET,GOODWATER,AL,35072,COOSA,USA
G0100370,22520,ROCKFORD POLICE DEPARTMENT,110 MAIN STREET,ROCKFORD,AL,35136,COOSA,USA
G0100370,22589,COOSA COUNTY SHERIFFS DEPARTMENT / COOSA COUNTY JAIL,1 SCHOOL STREET,ROCKFORD,AL,35136,COOSA,USA
G0100290,22080,HEFLIN POLICE DEPARTMENT,174 BELL STREET,HEFLIN,AL,36264,CLEBURNE,USA
G0100290,22043,CLEBURNE COUNTY SHERIFFS DEPARTMENT,140 LAMBERT DRIVE,HEFLIN,AL,36264,CLEBURNE,USA
G0100290,22572,RANBURNE POLICE DEPARTMENT,21295 MAIN STREET,RANBURNE,AL,36273,CLEBURNE,USA
G0100290,20855,CHEAHA STATE PARK RANGER,19644 STATE HIGHWAY 281,DELTA,AL,36258,CLEBURNE,USA
G0100010,22388,AUTAUGA COUNTY SHERIFFS DEPARTMENT,162 WEST 4TH STREET,PRATTVILLE,AL,36067,AUTAUGA,USA
G0100010,22526,PRATTVILLE POLICE DEPARTMENT,101 WEST MAIN STREET,PRATTVILLE,AL,36067,AUTAUGA,USA
G0100010,20695,ALABAMA DEPARTMENT OF CONSERVATION AND NATURAL RESOURCES - WILDLIFE AND FRESHWATER FISHERIES LAW ENFORCEMENT DISTRICT 4,1820 GLYNWOOD DRIVE,PRATTVILLE,AL,36066,AUTAUGA,USA
G0100010,22439,AUTAUGAVILLE POLICE DEPARTMENT,109 NORTH TAYLOR STREET,AUTAUGAVILLE,AL,36003,AUTAUGA,USA
G0100130,22594,GEORGIANA POLICE DEPARTMENT,400 EAST RAILROAD AVENUE,GEORGIANA,AL,36033,BUTLER,USA
G0100130,22383,GREENVILLE POLICE DEPARTMENT,119 EAST COMMERCE STREET,GREENVILLE,AL,36037,BUTLER,USA
G0100130,22573,BUTLER COUNTY SHERIFFS DEPARTMENT,700 COURT SQUARE, BUTLER COUNTY COURTHOUSE,GREENVILLE,AL,36037,BUTLER,USA
G0100130,22470,MCKENZIE POLICE DEPARTMENT,8 MAIN STREET,MCKENZIE,AL,36456,BUTLER,USA
G0100330,22516,LEIGHTON POLICE DEPARTMENT,8900 MAIN STREET,LEIGHTON,AL,35646,COLBERT,USA
G0100330,22535,TUSCUMBIA POLICE DEPARTMENT,218 SOUTH DICKSON STREET,TUSCUMBIA,AL,35674,COLBERT,USA
G0100330,22473,COLBERT COUNTY SHERIFFS DEPARTMENT,201 NORTH MAIN STREET,TUSCUMBIA,AL,35674,COLBERT,USA
G0100330,22122,SHEFFIELD POLICE DEPARTMENT,600 NORTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,USA
G0100330,20836,ALABAMA DEPARTMENT OF PUBLIC SAFETY HIGHWAY PATROL DIVISION - QUAD CITIES POST,4500 HATCH BOULEVARD,SHEFFIELD,AL,35660,COLBERT,USA
G0100330,22088,MUSCLE SHOALS POLICE DEPARTMENT,1000 AVALON AVENUE,MUSCLE SHOALS,AL,35661,COLBERT,USA
G0100330,20859,COLBERT COUNTY DRUG TASK FORCE,1300 JOHN R STREET, SUITE E,MUSCLE SHOALS,AL,35661,COLBERT,USA
G0100330,21507,NORTHWEST - SHOALS COMMUNITY COLLEGE CAMPUS POLICE DEPARTMENT,800 GEORGE WALLACE BOULEVARD,MUSCLE SHOALS,AL,35661,COLBERT,USA
G0100330,22599,LITTLEVILLE POLICE DEPARTMENT,1810 GEORGE WALLACE HIGHWAY,RUSSELLVILLE,AL,35654,COLBERT,USA
